employee_id,leave_type_id,start_date,end_date,duration,reason
NL-015,1,2017-01-09,2017-01-12,4,Vacation
NL-015,1,2017-05-28,2017-05-29,2,Vacation
NL-015,2,2016-10-23,2016-10-26,4,Medical - Flu
NL-016,1,2018-03-03,2018-03-05,3,Vacation
NL-017,1,2016-11-12,2016-11-14,3,Vacation
NL-017,1,2016-12-24,2016-12-26,3,Vacation
NLI-002,1,2017-05-08,2017-05-10,3,Vacation
NLI-002,2,2017-09-01,2017-09-04,4,Medical - Flu
NL-018,1,2023-07-25,2023-07-26,2,Vacation
NL-018,1,2023-07-21,2023-07-22,2,Vacation
NL-019,1,2023-03-28,2023-03-29,2,Vacation
NL-019,1,2023-11-05,2023-11-06,2,Vacation
NL-019,2,2023-03-13,2023-03-16,4,Medical - Flu
NL-020,1,2025-10-18,2025-10-20,3,Vacation
NL-020,3,2025-08-18,2025-08-22,5,Care for family
NLI-003,1,2023-07-17,2023-07-18,2,Vacation
NLI-003,1,2023-08-18,2023-08-21,4,Vacation
NLI-003,2,2023-03-16,2023-03-19,4,Medical - Flu
NLI-003,4,2023-10-27,2023-10-29,3,Family bereavement
NL-021,1,2023-11-23,2023-11-24,2,Vacation
NL-021,1,2023-12-22,2023-12-24,3,Vacation
NL-021,1,2024-03-29,2024-03-31,3,Vacation
NL-021,3,2024-04-10,2024-04-11,2,Care for family
NL-022,1,2023-11-05,2023-11-06,2,Vacation
NL-022,1,2023-09-26,2023-09-27,2,Vacation
NL-022,1,2023-10-21,2023-10-22,2,Vacation
NLI-004,1,2014-06-08,2014-06-11,4,Vacation
NLI-004,2,2014-05-07,2014-05-10,4,Medical - Flu
NL-023,1,2020-06-20,2020-06-22,3,Vacation
NL-023,1,2020-02-03,2020-02-04,2,Vacation
NL-023,1,2020-05-08,2020-05-09,2,Vacation
NLI-005,1,2022-03-14,2022-03-17,4,Vacation
NLI-005,2,2022-05-29,2022-06-01,4,Medical - Flu
NLI-005,4,2022-03-26,2022-03-28,3,Family bereavement
NL-024,1,2016-06-18,2016-06-20,3,Vacation
NL-024,1,2016-11-11,2016-11-14,4,Vacation
NL-024,2,2016-10-31,2016-11-03,4,Medical - Flu
NL-025,1,2020-07-22,2020-07-23,2,Vacation
NL-025,1,2020-05-10,2020-05-13,4,Vacation
NL-025,2,2020-07-10,2020-07-13,4,Medical - Flu
NL-026,1,2019-11-20,2019-11-22,3,Vacation
NL-026,1,2019-05-16,2019-05-17,2,Vacation
NL-026,5,2019-10-27,2019-10-27,1,LOP
NL-027,1,2016-05-20,2016-05-22,3,Vacation
NL-027,1,2016-06-12,2016-06-13,2,Vacation
NLI-006,1,2022-01-12,2022-01-13,2,Vacation
NLI-006,1,2021-11-15,2021-11-16,2,Vacation
NLI-006,1,2021-05-04,2021-05-05,2,Vacation
NLI-006,2,2021-09-15,2021-09-18,4,Medical - Flu
NL-028,1,2024-02-06,2024-02-09,4,Vacation
NL-029,1,2022-10-05,2022-10-08,4,Vacation
NL-029,1,2023-04-14,2023-04-16,3,Vacation
NL-029,2,2022-10-19,2022-10-22,4,Medical - Flu
NL-029,4,2022-10-31,2022-11-02,3,Family bereavement
NL-029,5,2023-04-10,2023-04-11,2,LOP
NL-030,1,2020-08-29,2020-09-01,4,Vacation
NL-030,1,2020-08-08,2020-08-10,3,Vacation
NL-031,1,2016-12-07,2016-12-10,4,Vacation
NL-031,1,2016-08-26,2016-08-29,4,Vacation
NL-031,1,2016-12-28,2016-12-30,3,Vacation
NL-031,2,2016-10-24,2016-10-27,4,Medical - Flu
NL-032,1,2025-01-22,2025-01-24,3,Vacation
NL-032,1,2025-01-06,2025-01-09,4,Vacation
NL-033,1,2023-05-31,2023-06-02,3,Vacation
NL-033,1,2023-04-21,2023-04-23,3,Vacation
NL-033,2,2023-04-08,2023-04-11,4,Medical - Flu
NL-034,1,2017-06-25,2017-06-26,2,Vacation
NL-035,1,2021-07-12,2021-07-15,4,Vacation
NL-035,2,2020-12-08,2020-12-11,4,Medical - Flu
NL-036,1,2016-06-07,2016-06-10,4,Vacation
NL-036,1,2015-12-09,2015-12-11,3,Vacation
NL-036,1,2016-03-17,2016-03-20,4,Vacation
NL-037,1,2020-01-20,2020-01-21,2,Vacation
NL-037,1,2020-07-06,2020-07-07,2,Vacation
NL-037,1,2020-07-17,2020-07-18,2,Vacation
NL-037,2,2020-05-13,2020-05-16,4,Medical - Flu
NLI-007,1,2022-01-14,2022-01-16,3,Vacation
NL-038,1,2025-03-11,2025-03-13,3,Vacation
NL-038,2,2024-10-15,2024-10-18,4,Medical - Flu
NL-039,1,2024-07-23,2024-07-24,2,Vacation
NL-039,1,2024-08-10,2024-08-11,2,Vacation
NL-039,1,2024-11-14,2024-11-17,4,Vacation
NL-039,2,2024-05-05,2024-05-08,4,Medical - Flu
NL-040,1,2022-03-23,2022-03-24,2,Vacation
NL-040,1,2022-10-09,2022-10-12,4,Vacation
NL-041,1,2017-11-10,2017-11-12,3,Vacation
NL-041,1,2017-06-20,2017-06-23,4,Vacation
NL-041,3,2018-01-30,2018-02-02,4,Care for family
NL-042,1,2017-01-25,2017-01-26,2,Vacation
NL-042,1,2017-05-20,2017-05-22,3,Vacation
NL-043,1,2022-04-17,2022-04-18,2,Vacation
NL-043,1,2021-09-07,2021-09-10,4,Vacation
NL-043,1,2021-10-21,2021-10-24,4,Vacation
NL-043,2,2021-12-06,2021-12-09,4,Medical - Flu
NL-044,1,2024-07-20,2024-07-22,3,Vacation
NL-045,1,2017-06-23,2017-06-25,3,Vacation
NL-045,1,2017-07-16,2017-07-18,3,Vacation
NL-045,2,2017-01-31,2017-02-03,4,Medical - Flu
NL-046,1,2024-04-19,2024-04-21,3,Vacation
NL-046,1,2024-03-08,2024-03-11,4,Vacation
NL-046,1,2024-08-11,2024-08-14,4,Vacation
NL-047,1,2022-04-09,2022-04-10,2,Vacation
NL-047,1,2021-10-26,2021-10-27,2,Vacation
NL-047,2,2021-11-02,2021-11-05,4,Medical - Flu
NL-048,1,2021-10-28,2021-10-29,2,Vacation
NL-048,1,2021-05-24,2021-05-26,3,Vacation
NL-048,2,2021-06-09,2021-06-12,4,Medical - Flu
NL-049,1,2020-08-05,2020-08-08,4,Vacation
NL-049,1,2020-09-09,2020-09-12,4,Vacation
NL-050,1,2017-08-05,2017-08-07,3,Vacation
NL-050,1,2017-07-11,2017-07-13,3,Vacation
NL-050,2,2017-07-20,2017-07-23,4,Medical - Flu
NL-050,4,2017-03-08,2017-03-11,4,Family bereavement
NL-051,1,2019-08-28,2019-08-30,3,Vacation
NL-052,1,2018-05-10,2018-05-11,2,Vacation
NL-052,1,2017-09-29,2017-09-30,2,Vacation
NL-052,2,2018-02-24,2018-02-27,4,Medical - Flu
NL-053,1,2020-06-23,2020-06-25,3,Vacation
NL-053,1,2020-09-30,2020-10-01,2,Vacation
NL-053,1,2020-10-21,2020-10-22,2,Vacation
NL-053,2,2020-03-29,2020-04-01,4,Medical - Flu
NLI-008,1,2017-03-07,2017-03-09,3,Vacation
NLI-008,1,2017-01-24,2017-01-26,3,Vacation
NLI-008,1,2017-02-05,2017-02-07,3,Vacation
NLI-008,2,2017-01-02,2017-01-05,4,Medical - Flu
NL-054,1,2022-03-25,2022-03-28,4,Vacation
NL-055,1,2021-05-05,2021-05-06,2,Vacation
NL-055,1,2021-05-04,2021-05-05,2,Vacation
NL-056,1,2021-06-13,2021-06-14,2,Vacation
NL-056,1,2021-05-27,2021-05-28,2,Vacation
NL-056,1,2021-03-15,2021-03-16,2,Vacation
NL-057,1,2021-09-15,2021-09-17,3,Vacation
NL-057,1,2021-05-11,2021-05-14,4,Vacation
NL-057,1,2021-10-07,2021-10-09,3,Vacation
NL-058,1,2021-08-17,2021-08-18,2,Vacation
NL-058,1,2021-09-04,2021-09-07,4,Vacation
NL-058,1,2021-10-23,2021-10-25,3,Vacation
NL-058,3,2021-08-17,2021-08-20,4,Care for family
NL-059,1,2017-04-12,2017-04-13,2,Vacation
NL-059,1,2017-06-20,2017-06-21,2,Vacation
NL-059,2,2017-04-04,2017-04-07,4,Medical - Flu
NL-060,1,2024-01-25,2024-01-28,4,Vacation
NL-060,1,2023-12-25,2023-12-27,3,Vacation
NL-060,2,2023-10-30,2023-11-02,4,Medical - Flu
NL-061,1,2023-03-04,2023-03-07,4,Vacation
NL-061,1,2023-04-09,2023-04-11,3,Vacation
NL-061,1,2023-10-21,2023-10-23,3,Vacation
NL-061,2,2023-03-05,2023-03-08,4,Medical - Flu
NL-062,1,2018-08-02,2018-08-05,4,Vacation
NL-062,1,2018-10-24,2018-10-26,3,Vacation
NL-062,1,2018-08-01,2018-08-03,3,Vacation
NL-062,4,2018-06-30,2018-07-03,4,Family bereavement
NL-062,5,2018-03-19,2018-03-20,2,LOP
NL-063,1,2022-10-18,2022-10-20,3,Vacation
NL-063,1,2022-08-21,2022-08-23,3,Vacation
NL-063,1,2022-04-09,2022-04-11,3,Vacation
NL-063,2,2022-04-13,2022-04-16,4,Medical - Flu
NL-064,1,2024-05-30,2024-06-02,4,Vacation
NL-064,3,2024-06-06,2024-06-09,4,Care for family
NL-065,1,2018-06-04,2018-06-05,2,Vacation
NL-065,1,2018-06-26,2018-06-28,3,Vacation
NL-065,1,2018-07-11,2018-07-13,3,Vacation
NL-066,1,2015-09-16,2015-09-19,4,Vacation
NL-066,1,2015-07-26,2015-07-28,3,Vacation
NL-067,1,2023-07-23,2023-07-24,2,Vacation
NL-067,1,2023-06-15,2023-06-18,4,Vacation
NL-067,3,2023-03-07,2023-03-09,3,Care for family
NL-068,1,2021-06-23,2021-06-25,3,Vacation
NL-068,1,2021-08-28,2021-08-31,4,Vacation
NL-069,1,2014-08-04,2014-08-06,3,Vacation
NL-069,1,2014-04-14,2014-04-15,2,Vacation
NL-069,2,2014-04-24,2014-04-27,4,Medical - Flu
NL-070,1,2017-10-15,2017-10-18,4,Vacation
NL-070,2,2017-11-22,2017-11-25,4,Medical - Flu
NL-071,1,2018-09-22,2018-09-23,2,Vacation
NL-071,1,2018-07-12,2018-07-14,3,Vacation
NL-071,2,2018-07-12,2018-07-15,4,Medical - Flu
NL-072,1,2023-02-12,2023-02-15,4,Vacation
NL-073,1,2020-07-27,2020-07-30,4,Vacation
NL-073,1,2020-10-31,2020-11-03,4,Vacation
NLI-009,1,2016-07-11,2016-07-14,4,Vacation
NLI-009,1,2016-03-03,2016-03-05,3,Vacation
NLI-009,3,2016-09-17,2016-09-21,5,Care for family
NL-074,1,2017-07-24,2017-07-25,2,Vacation
NL-074,4,2017-05-22,2017-05-24,3,Family bereavement
NL-075,1,2017-10-29,2017-11-01,4,Vacation
NL-075,1,2018-01-14,2018-01-16,3,Vacation
NL-076,1,2022-06-09,2022-06-12,4,Vacation
NL-076,3,2022-08-16,2022-08-17,2,Care for family
NL-076,5,2022-03-20,2022-03-20,1,LOP
NL-077,1,2016-09-25,2016-09-26,2,Vacation
NL-077,2,2016-10-11,2016-10-14,4,Medical - Flu
NLI-010,1,2021-09-26,2021-09-27,2,Vacation
NLI-010,1,2021-06-05,2021-06-08,4,Vacation
NLI-010,2,2021-11-07,2021-11-10,4,Medical - Flu
NLI-010,5,2021-10-17,2021-10-17,1,LOP
NL-078,1,2024-05-22,2024-05-24,3,Vacation
NL-078,1,2024-08-05,2024-08-07,3,Vacation
NL-079,1,2018-08-06,2018-08-07,2,Vacation
NL-079,2,2018-04-11,2018-04-14,4,Medical - Flu
NL-080,1,2017-08-07,2017-08-09,3,Vacation
NL-080,2,2017-08-02,2017-08-05,4,Medical - Flu
NL-081,1,2014-05-14,2014-05-16,3,Vacation
NL-081,1,2014-05-09,2014-05-12,4,Vacation
NL-081,1,2014-09-23,2014-09-24,2,Vacation
NL-082,1,2020-04-09,2020-04-10,2,Vacation
NL-082,1,2019-10-29,2019-11-01,4,Vacation
NL-083,1,2019-03-12,2019-03-14,3,Vacation
NL-083,1,2019-06-01,2019-06-02,2,Vacation
NL-083,2,2018-10-06,2018-10-09,4,Medical - Flu
NL-083,3,2019-04-25,2019-04-29,5,Care for family
NL-083,4,2019-04-29,2019-04-30,2,Family bereavement
NL-084,1,2015-02-17,2015-02-20,4,Vacation
NL-084,2,2015-03-22,2015-03-25,4,Medical - Flu
NL-084,3,2015-05-02,2015-05-03,2,Care for family
NL-084,5,2015-04-07,2015-04-07,1,LOP
NL-085,1,2022-03-07,2022-03-08,2,Vacation
NL-085,2,2022-01-25,2022-01-28,4,Medical - Flu
NL-085,4,2022-09-29,2022-10-01,3,Family bereavement
NL-086,1,2021-10-26,2021-10-27,2,Vacation
NL-086,1,2021-10-08,2021-10-09,2,Vacation
NL-086,1,2021-07-20,2021-07-22,3,Vacation
NL-086,2,2021-02-17,2021-02-20,4,Medical - Flu
NL-086,5,2021-03-30,2021-03-31,2,LOP
NLI-011,1,2023-08-20,2023-08-23,4,Vacation
NLI-011,1,2023-12-05,2023-12-08,4,Vacation
NLI-012,1,2020-08-30,2020-08-31,2,Vacation
NLI-012,1,2021-01-05,2021-01-08,4,Vacation
NLI-012,2,2020-10-12,2020-10-15,4,Medical - Flu
NL-087,1,2019-06-30,2019-07-02,3,Vacation
NL-087,1,2019-10-24,2019-10-27,4,Vacation
NL-087,1,2019-09-05,2019-09-06,2,Vacation
NL-087,3,2019-08-30,2019-09-01,3,Care for family
NLI-013,1,2016-09-30,2016-10-01,2,Vacation
NLI-013,2,2017-03-03,2017-03-06,4,Medical - Flu
NL-088,1,2024-03-12,2024-03-13,2,Vacation
NL-088,3,2024-08-13,2024-08-17,5,Care for family
NL-089,1,2018-03-07,2018-03-08,2,Vacation
NL-090,1,2014-11-20,2014-11-22,3,Vacation
NL-090,1,2014-08-10,2014-08-12,3,Vacation
NL-091,1,2015-07-16,2015-07-18,3,Vacation
NL-091,1,2015-04-06,2015-04-08,3,Vacation
NLI-014,1,2019-05-18,2019-05-20,3,Vacation
NLI-014,1,2019-09-17,2019-09-19,3,Vacation
NLI-014,2,2019-08-14,2019-08-17,4,Medical - Flu
NLI-014,5,2019-05-10,2019-05-11,2,LOP
NLI-015,1,2017-05-19,2017-05-20,2,Vacation
NLI-015,1,2017-05-25,2017-05-27,3,Vacation
NLI-015,2,2016-10-19,2016-10-22,4,Medical - Flu
NLI-016,1,2016-06-09,2016-06-12,4,Vacation
NLI-016,1,2016-07-07,2016-07-08,2,Vacation
NLI-016,1,2016-07-21,2016-07-23,3,Vacation
NLI-016,2,2016-05-18,2016-05-21,4,Medical - Flu
NL-092,1,2018-05-12,2018-05-13,2,Vacation
NL-092,1,2018-05-05,2018-05-07,3,Vacation
NL-093,1,2017-04-23,2017-04-26,4,Vacation
NL-093,1,2017-10-10,2017-10-12,3,Vacation
NL-093,1,2017-03-29,2017-03-30,2,Vacation
NL-094,1,2016-11-02,2016-11-05,4,Vacation
NL-094,2,2016-12-22,2016-12-25,4,Medical - Flu
NL-095,1,2018-11-25,2018-11-27,3,Vacation
NL-096,1,2020-08-24,2020-08-26,3,Vacation
NL-096,2,2020-06-19,2020-06-22,4,Medical - Flu
NL-097,1,2023-06-15,2023-06-18,4,Vacation
NL-097,1,2023-03-15,2023-03-17,3,Vacation
NL-097,1,2023-01-29,2023-01-30,2,Vacation
NL-097,2,2022-12-13,2022-12-16,4,Medical - Flu
NL-097,3,2023-05-23,2023-05-27,5,Care for family
NL-098,1,2020-02-16,2020-02-19,4,Vacation
NL-098,1,2020-03-01,2020-03-03,3,Vacation
NL-098,1,2020-02-24,2020-02-26,3,Vacation
NL-099,1,2019-11-30,2019-12-01,2,Vacation
NL-100,1,2014-10-09,2014-10-10,2,Vacation
NL-100,1,2014-08-16,2014-08-19,4,Vacation
NL-100,1,2014-11-29,2014-12-02,4,Vacation
NL-100,2,2014-08-16,2014-08-19,4,Medical - Flu
NL-101,1,2022-03-19,2022-03-22,4,Vacation
NL-101,4,2022-07-05,2022-07-06,2,Family bereavement
NLI-017,1,2019-07-28,2019-07-29,2,Vacation
NLI-017,1,2019-10-29,2019-11-01,4,Vacation
NLI-017,1,2019-09-16,2019-09-19,4,Vacation
NL-102,1,2022-05-31,2022-06-02,3,Vacation
NL-102,1,2022-09-24,2022-09-26,3,Vacation
NL-102,1,2022-05-31,2022-06-03,4,Vacation
NL-103,1,2015-12-25,2015-12-28,4,Vacation
NL-103,1,2015-10-24,2015-10-26,3,Vacation
NL-103,1,2015-10-25,2015-10-27,3,Vacation
NL-104,1,2024-12-18,2024-12-20,3,Vacation
NL-104,1,2024-11-11,2024-11-13,3,Vacation
NL-105,1,2014-08-11,2014-08-12,2,Vacation
NL-105,1,2015-01-08,2015-01-09,2,Vacation
NL-105,4,2014-07-29,2014-07-31,3,Family bereavement
NLI-018,1,2018-05-12,2018-05-14,3,Vacation
NLI-018,1,2017-11-15,2017-11-16,2,Vacation
NLI-018,2,2018-03-09,2018-03-12,4,Medical - Flu
NLI-018,5,2018-04-04,2018-04-05,2,LOP
NL-106,1,2019-02-10,2019-02-12,3,Vacation
NL-106,2,2019-02-21,2019-02-24,4,Medical - Flu
NL-107,1,2018-01-31,2018-02-02,3,Vacation
NL-107,1,2018-10-14,2018-10-17,4,Vacation
NL-107,1,2018-05-09,2018-05-11,3,Vacation
NL-107,2,2018-03-10,2018-03-13,4,Medical - Flu
NL-107,5,2018-08-01,2018-08-02,2,LOP
NL-108,1,2023-10-02,2023-10-03,2,Vacation
NL-108,1,2023-02-14,2023-02-17,4,Vacation
NL-108,1,2023-03-27,2023-03-29,3,Vacation
NL-108,2,2023-06-27,2023-06-30,4,Medical - Flu
NL-108,4,2023-06-04,2023-06-06,3,Family bereavement
NL-109,1,2022-11-04,2022-11-05,2,Vacation
NL-109,1,2022-05-10,2022-05-12,3,Vacation
NL-109,1,2022-06-26,2022-06-28,3,Vacation
NL-110,1,2016-02-16,2016-02-19,4,Vacation
NL-110,1,2015-09-24,2015-09-25,2,Vacation
NL-110,1,2016-04-06,2016-04-07,2,Vacation
NL-110,2,2015-10-07,2015-10-10,4,Medical - Flu
NL-111,1,2016-03-05,2016-03-07,3,Vacation
NL-111,1,2016-02-03,2016-02-05,3,Vacation
NL-111,1,2016-04-11,2016-04-13,3,Vacation
NLI-019,1,2021-08-17,2021-08-20,4,Vacation
NL-112,1,2015-02-24,2015-02-27,4,Vacation
NL-112,1,2014-09-28,2014-09-29,2,Vacation
NL-112,2,2014-10-04,2014-10-07,4,Medical - Flu
NL-112,3,2015-03-08,2015-03-13,6,Care for family
NL-113,1,2015-07-13,2015-07-15,3,Vacation
NL-113,1,2015-06-09,2015-06-12,4,Vacation
NL-113,1,2016-01-16,2016-01-19,4,Vacation
NLI-020,1,2019-11-22,2019-11-24,3,Vacation
NLI-020,1,2020-02-02,2020-02-03,2,Vacation
NLI-020,1,2019-11-29,2019-12-02,4,Vacation
NLI-020,2,2019-10-12,2019-10-15,4,Medical - Flu
NL-114,1,2019-03-09,2019-03-11,3,Vacation
NL-114,1,2019-01-20,2019-01-23,4,Vacation
NL-115,1,2020-11-24,2020-11-27,4,Vacation
NL-115,1,2020-08-31,2020-09-03,4,Vacation
NL-115,1,2021-03-05,2021-03-07,3,Vacation
NL-116,1,2016-02-17,2016-02-20,4,Vacation
NL-116,1,2016-02-22,2016-02-25,4,Vacation
NL-116,1,2016-09-09,2016-09-12,4,Vacation
NL-117,1,2024-03-26,2024-03-28,3,Vacation
NL-117,1,2024-05-03,2024-05-04,2,Vacation
NL-117,1,2024-04-22,2024-04-24,3,Vacation
NL-118,1,2014-10-05,2014-10-07,3,Vacation
NL-118,1,2015-02-17,2015-02-20,4,Vacation
NL-118,1,2014-10-19,2014-10-22,4,Vacation
NL-118,2,2014-11-13,2014-11-16,4,Medical - Flu
NL-118,5,2014-12-04,2014-12-04,1,LOP
NL-119,1,2016-02-27,2016-02-29,3,Vacation
NL-119,1,2015-08-21,2015-08-23,3,Vacation
NL-119,2,2016-01-12,2016-01-15,4,Medical - Flu
NL-119,3,2016-02-29,2016-03-03,4,Care for family
NL-120,1,2022-06-03,2022-06-05,3,Vacation
NL-120,1,2022-02-25,2022-02-28,4,Vacation
NL-121,1,2021-02-25,2021-02-26,2,Vacation
NL-121,1,2021-03-04,2021-03-07,4,Vacation
NL-121,1,2020-10-10,2020-10-11,2,Vacation
NL-121,2,2020-09-01,2020-09-04,4,Medical - Flu
NL-121,3,2020-11-15,2020-11-20,6,Care for family
NL-122,1,2018-10-29,2018-10-30,2,Vacation
NL-123,1,2016-04-24,2016-04-26,3,Vacation
NL-123,1,2016-03-07,2016-03-09,3,Vacation
NL-123,2,2016-01-21,2016-01-24,4,Medical - Flu
NL-124,1,2015-05-24,2015-05-27,4,Vacation
NL-124,1,2015-01-10,2015-01-12,3,Vacation
NL-124,1,2015-04-14,2015-04-16,3,Vacation
NL-125,1,2017-04-04,2017-04-06,3,Vacation
NL-125,1,2017-02-24,2017-02-27,4,Vacation
NL-126,1,2020-10-24,2020-10-27,4,Vacation
NL-126,4,2020-08-12,2020-08-13,2,Family bereavement
NLI-021,1,2016-10-29,2016-11-01,4,Vacation
NLI-021,1,2017-02-02,2017-02-05,4,Vacation
NLI-021,1,2017-04-17,2017-04-20,4,Vacation
NLI-021,3,2017-03-05,2017-03-09,5,Care for family
NL-127,1,2018-10-11,2018-10-12,2,Vacation
NL-127,1,2018-12-09,2018-12-10,2,Vacation
NL-127,2,2018-11-19,2018-11-22,4,Medical - Flu
NL-128,1,2022-01-11,2022-01-12,2,Vacation
NL-128,1,2022-05-02,2022-05-05,4,Vacation
NL-128,1,2022-03-04,2022-03-06,3,Vacation
NL-128,3,2022-03-07,2022-03-10,4,Care for family
NL-129,1,2023-12-20,2023-12-22,3,Vacation
NL-129,1,2024-06-12,2024-06-14,3,Vacation
NL-130,1,2025-03-23,2025-03-24,2,Vacation
NL-130,1,2025-02-20,2025-02-23,4,Vacation
NL-130,1,2025-05-16,2025-05-18,3,Vacation
NL-130,3,2025-05-11,2025-05-13,3,Care for family
NL-131,1,2020-04-02,2020-04-04,3,Vacation
NL-132,1,2017-03-17,2017-03-20,4,Vacation
NL-132,1,2017-04-11,2017-04-13,3,Vacation
NL-132,5,2017-03-20,2017-03-21,2,LOP
NL-133,1,2021-09-14,2021-09-17,4,Vacation
NL-133,1,2022-01-03,2022-01-04,2,Vacation
NL-133,1,2021-06-20,2021-06-22,3,Vacation
NL-134,1,2015-07-08,2015-07-11,4,Vacation
NL-134,1,2015-09-23,2015-09-25,3,Vacation
NL-134,3,2015-11-15,2015-11-20,6,Care for family
NL-135,1,2024-08-02,2024-08-03,2,Vacation
NL-135,1,2024-08-14,2024-08-16,3,Vacation
NL-135,1,2024-07-22,2024-07-24,3,Vacation
NL-135,4,2024-08-23,2024-08-25,3,Family bereavement
NL-136,1,2017-12-27,2017-12-28,2,Vacation
NL-136,2,2018-04-15,2018-04-18,4,Medical - Flu
NL-136,4,2018-03-18,2018-03-19,2,Family bereavement
NL-137,1,2024-11-11,2024-11-14,4,Vacation
NL-137,1,2024-12-13,2024-12-15,3,Vacation
NL-137,1,2025-03-28,2025-03-31,4,Vacation
NL-138,1,2016-08-22,2016-08-25,4,Vacation
NL-138,1,2016-10-08,2016-10-09,2,Vacation
NL-138,1,2016-09-04,2016-09-05,2,Vacation
NL-138,3,2016-06-18,2016-06-22,5,Care for family
NL-139,1,2015-12-07,2015-12-08,2,Vacation
NL-140,1,2021-06-12,2021-06-13,2,Vacation
NL-140,2,2021-10-25,2021-10-28,4,Medical - Flu
NL-140,3,2021-10-16,2021-10-19,4,Care for family
NL-140,5,2021-04-27,2021-04-28,2,LOP
NLI-022,1,2016-12-12,2016-12-15,4,Vacation
NLI-022,2,2016-10-13,2016-10-16,4,Medical - Flu
NL-141,1,2024-08-18,2024-08-20,3,Vacation
NL-141,1,2024-09-30,2024-10-03,4,Vacation
NL-141,1,2024-04-16,2024-04-18,3,Vacation
NL-141,3,2024-07-08,2024-07-09,2,Care for family
NL-142,1,2019-03-01,2019-03-03,3,Vacation
NL-142,1,2018-12-22,2018-12-23,2,Vacation
NL-142,1,2019-04-01,2019-04-04,4,Vacation
NL-142,4,2018-12-29,2018-12-31,3,Family bereavement
NL-143,1,2024-07-27,2024-07-29,3,Vacation
NL-143,3,2024-04-28,2024-05-02,5,Care for family
NL-143,4,2024-06-22,2024-06-23,2,Family bereavement
NL-143,5,2023-12-25,2023-12-26,2,LOP
NL-144,1,2021-03-14,2021-03-15,2,Vacation
NL-145,1,2018-04-15,2018-04-17,3,Vacation
NL-145,1,2017-11-11,2017-11-13,3,Vacation
NL-145,2,2018-03-10,2018-03-13,4,Medical - Flu
NL-146,1,2024-10-03,2024-10-05,3,Vacation
NL-146,1,2024-11-03,2024-11-06,4,Vacation
NL-147,1,2019-09-09,2019-09-11,3,Vacation
NL-148,1,2018-04-21,2018-04-22,2,Vacation
NL-148,2,2018-06-09,2018-06-12,4,Medical - Flu
NL-149,1,2023-01-17,2023-01-18,2,Vacation
NL-150,1,2017-05-15,2017-05-17,3,Vacation
NL-150,2,2017-08-06,2017-08-09,4,Medical - Flu
NL-150,5,2017-08-03,2017-08-03,1,LOP
NLI-023,1,2025-07-02,2025-07-04,3,Vacation
NLI-023,2,2025-01-31,2025-02-03,4,Medical - Flu
NL-151,1,2019-12-31,2020-01-02,3,Vacation
NL-151,1,2019-06-10,2019-06-13,4,Vacation
NL-151,4,2019-10-16,2019-10-19,4,Family bereavement
NL-152,1,2023-02-03,2023-02-05,3,Vacation
NL-153,1,2014-11-19,2014-11-22,4,Vacation
NL-153,1,2014-11-04,2014-11-06,3,Vacation
NL-153,1,2014-06-24,2014-06-25,2,Vacation
