employee_id,project_id,assigned_date,tasks_assigned,tasks_completed,task_quality_score,productivity_score,remarks
NL-016,28,2025-01-01,10,2,4.65,0.93,Critical Underperformance
NL-022,21,2024-03-01,3,2,1.65,1.1,Performance Improvement Plan
NL-022,21,2024-04-01,4,4,3.94,3.94,Consistently Effective
NL-022,21,2024-05-01,3,3,4.74,4.74,Outstanding Contributor
NL-022,21,2024-07-01,9,4,0.57,0.25,Critical Underperformance
NL-022,21,2024-08-01,8,2,2.59,0.65,Critical Underperformance
NL-022,21,2024-10-01,8,2,2.14,0.54,Critical Underperformance
NL-022,21,2024-11-01,3,3,4.32,4.32,Outstanding Contributor
NL-022,21,2025-01-01,4,3,2.54,1.91,Performance Improvement Plan
NL-025,24,2024-03-01,5,4,2.87,2.3,Needs Closer Monitoring
NL-025,24,2024-04-01,8,3,0.63,0.24,Critical Underperformance
NL-025,24,2024-05-01,4,2,3.33,1.67,Performance Improvement Plan
NL-025,24,2024-07-01,7,6,4.59,3.93,Consistently Effective
NL-025,24,2024-08-01,6,6,1.6,1.6,Performance Improvement Plan
NL-025,24,2024-10-01,6,6,3.28,3.28,Consistently Effective
NL-025,24,2024-11-01,6,3,1.4,0.7,Critical Underperformance
NL-025,24,2025-01-01,5,3,2.25,1.35,Performance Improvement Plan
NLI-006,25,2024-03-01,6,3,2.01,1.0,Performance Improvement Plan
NLI-006,25,2024-04-01,6,3,1.52,0.76,Critical Underperformance
NLI-006,25,2024-05-01,5,4,2.25,1.8,Performance Improvement Plan
NLI-006,25,2024-07-01,5,3,0.04,0.02,Critical Underperformance
NLI-006,25,2024-08-01,8,4,4.66,2.33,Needs Closer Monitoring
NLI-006,25,2024-10-01,10,5,0.9,0.45,Critical Underperformance
NLI-006,25,2024-11-01,3,2,2.94,1.96,Performance Improvement Plan
NLI-006,25,2025-01-01,3,3,3.97,3.97,Consistently Effective
NL-028,9,2024-03-01,3,3,2.79,2.79,Needs Closer Monitoring
NL-028,9,2024-04-01,8,7,2.49,2.18,Needs Closer Monitoring
NL-028,9,2024-05-01,4,3,2.46,1.84,Performance Improvement Plan
NL-028,9,2024-07-01,9,9,3.53,3.53,Consistently Effective
NL-028,9,2024-08-01,7,2,1.74,0.5,Critical Underperformance
NL-028,9,2024-10-01,5,5,0.76,0.76,Critical Underperformance
NL-028,9,2024-11-01,10,7,3.05,2.13,Needs Closer Monitoring
NL-028,9,2025-01-01,5,4,3.36,2.69,Needs Closer Monitoring
NL-030,7,2024-03-01,3,3,3.82,3.82,Consistently Effective
NL-030,7,2024-04-01,6,6,0.9,0.9,Critical Underperformance
NL-030,7,2024-05-01,6,4,4.59,3.06,Consistently Effective
NL-030,7,2024-07-01,9,3,3.28,1.09,Performance Improvement Plan
NL-030,7,2024-08-01,7,6,2.61,2.24,Needs Closer Monitoring
NL-030,7,2024-10-01,6,5,2.43,2.03,Needs Closer Monitoring
NL-030,7,2024-11-01,7,4,4.56,2.61,Needs Closer Monitoring
NL-030,7,2025-01-01,10,2,2.89,0.58,Critical Underperformance
NL-032,3,2024-03-01,9,3,3.6,1.2,Performance Improvement Plan
NL-032,3,2024-04-01,7,3,4.0,1.71,Performance Improvement Plan
NL-032,3,2024-05-01,8,2,4.38,1.09,Performance Improvement Plan
NL-032,3,2024-07-01,3,3,1.66,1.66,Performance Improvement Plan
NL-032,3,2024-08-01,8,3,2.73,1.02,Performance Improvement Plan
NL-032,3,2024-10-01,9,6,5.0,3.33,Consistently Effective
NL-032,3,2024-11-01,9,7,2.29,1.78,Performance Improvement Plan
NL-032,3,2025-01-01,10,2,1.25,0.25,Critical Underperformance
NL-034,10,2024-03-01,4,2,4.89,2.44,Needs Closer Monitoring
NL-034,10,2024-04-01,7,5,0.23,0.16,Critical Underperformance
NL-034,10,2024-05-01,9,2,2.08,0.46,Critical Underperformance
NL-034,10,2024-07-01,5,2,0.23,0.09,Critical Underperformance
NL-034,10,2024-08-01,9,2,4.99,1.11,Performance Improvement Plan
NL-034,10,2024-10-01,7,2,0.49,0.14,Critical Underperformance
NL-034,10,2024-11-01,5,3,1.8,1.08,Performance Improvement Plan
NL-034,10,2025-01-01,8,4,1.96,0.98,Critical Underperformance
NL-037,15,2024-03-01,4,3,3.68,2.76,Needs Closer Monitoring
NL-037,15,2024-04-01,6,3,4.26,2.13,Needs Closer Monitoring
NL-037,15,2024-05-01,4,4,0.36,0.36,Critical Underperformance
NL-037,15,2024-07-01,9,8,1.52,1.35,Performance Improvement Plan
NL-037,15,2024-08-01,9,9,3.25,3.25,Consistently Effective
NL-037,15,2024-10-01,4,2,4.37,2.19,Needs Closer Monitoring
NL-037,15,2024-11-01,3,3,3.42,3.42,Consistently Effective
NL-037,15,2025-01-01,3,3,3.73,3.73,Consistently Effective
NLI-007,1,2024-03-01,9,2,1.2,0.27,Critical Underperformance
NLI-007,1,2024-04-01,7,7,2.71,2.71,Needs Closer Monitoring
NLI-007,1,2024-05-01,8,7,0.69,0.6,Critical Underperformance
NLI-007,1,2024-07-01,6,2,3.79,1.26,Performance Improvement Plan
NLI-007,1,2024-08-01,6,4,2.81,1.87,Performance Improvement Plan
NLI-007,1,2024-10-01,8,3,0.77,0.29,Critical Underperformance
NLI-007,1,2024-11-01,3,3,3.75,3.75,Consistently Effective
NLI-007,1,2025-01-01,9,5,0.75,0.42,Critical Underperformance
NL-038,30,2024-03-01,5,3,0.41,0.25,Critical Underperformance
NL-038,30,2024-04-01,9,2,0.29,0.06,Critical Underperformance
NL-038,30,2024-05-01,9,3,1.58,0.53,Critical Underperformance
NL-038,30,2024-07-01,10,4,3.0,1.2,Performance Improvement Plan
NL-038,30,2024-08-01,10,9,4.32,3.89,Consistently Effective
NL-038,30,2024-10-01,5,5,1.71,1.71,Performance Improvement Plan
NL-038,30,2024-11-01,4,4,3.16,3.16,Consistently Effective
NL-038,30,2025-01-01,7,6,4.5,3.86,Consistently Effective
NL-039,12,2024-03-01,10,9,2.14,1.93,Performance Improvement Plan
NL-039,12,2024-04-01,7,4,0.69,0.39,Critical Underperformance
NL-039,12,2024-05-01,9,3,0.33,0.11,Critical Underperformance
NL-039,12,2024-07-01,7,6,3.71,3.18,Consistently Effective
NL-039,12,2024-08-01,5,2,1.96,0.78,Critical Underperformance
NL-039,12,2024-10-01,5,3,0.41,0.25,Critical Underperformance
NL-039,12,2024-11-01,3,3,1.73,1.73,Performance Improvement Plan
NL-039,12,2025-01-01,4,2,0.89,0.45,Critical Underperformance
NL-042,27,2024-03-01,4,3,1.22,0.92,Critical Underperformance
NL-042,27,2024-04-01,9,8,3.01,2.68,Needs Closer Monitoring
NL-042,27,2024-05-01,5,3,0.85,0.51,Critical Underperformance
NL-042,27,2024-07-01,5,4,3.14,2.51,Needs Closer Monitoring
NL-042,27,2024-08-01,9,6,4.6,3.07,Consistently Effective
NL-042,27,2024-10-01,7,6,2.34,2.01,Needs Closer Monitoring
NL-042,27,2024-11-01,9,9,1.74,1.74,Performance Improvement Plan
NL-042,27,2025-01-01,8,3,0.33,0.12,Critical Underperformance
NL-044,9,2024-03-01,5,5,2.81,2.81,Needs Closer Monitoring
NL-044,9,2024-04-01,10,10,0.14,0.14,Critical Underperformance
NL-044,9,2024-05-01,9,6,0.78,0.52,Critical Underperformance
NL-044,9,2024-07-01,4,4,1.05,1.05,Performance Improvement Plan
NL-044,9,2024-08-01,9,5,4.26,2.37,Needs Closer Monitoring
NL-044,9,2024-10-01,6,5,4.51,3.76,Consistently Effective
NL-044,9,2024-11-01,7,5,1.78,1.27,Performance Improvement Plan
NL-044,9,2025-01-01,10,10,3.47,3.47,Consistently Effective
NL-051,5,2024-03-01,9,3,0.11,0.04,Critical Underperformance
NL-051,5,2024-04-01,4,2,4.74,2.37,Needs Closer Monitoring
NL-051,5,2024-05-01,7,7,0.62,0.62,Critical Underperformance
NL-051,5,2024-07-01,4,2,1.24,0.62,Critical Underperformance
NL-051,5,2024-08-01,10,3,2.95,0.89,Critical Underperformance
NL-051,5,2024-10-01,7,3,2.02,0.87,Critical Underperformance
NL-051,5,2024-11-01,3,2,1.73,1.15,Performance Improvement Plan
NL-051,5,2025-01-01,6,6,1.06,1.06,Performance Improvement Plan
NL-052,8,2024-03-01,8,7,2.79,2.44,Needs Closer Monitoring
NL-052,8,2024-04-01,8,4,1.13,0.56,Critical Underperformance
NL-052,8,2024-05-01,10,5,2.65,1.32,Performance Improvement Plan
NL-052,8,2024-07-01,6,4,2.45,1.63,Performance Improvement Plan
NL-052,8,2024-08-01,7,4,4.89,2.79,Needs Closer Monitoring
NL-052,8,2024-10-01,6,3,3.56,1.78,Performance Improvement Plan
NL-052,8,2024-11-01,6,2,3.16,1.05,Performance Improvement Plan
NL-052,8,2025-01-01,7,7,4.82,4.82,Outstanding Contributor
NLI-008,22,2024-03-01,5,4,2.61,2.09,Needs Closer Monitoring
NLI-008,22,2024-04-01,5,5,4.64,4.64,Outstanding Contributor
NLI-008,22,2024-05-01,3,2,1.35,0.9,Critical Underperformance
NLI-008,22,2024-07-01,6,5,2.12,1.77,Performance Improvement Plan
NLI-008,22,2024-08-01,4,4,4.59,4.59,Outstanding Contributor
NLI-008,22,2024-10-01,8,3,1.04,0.39,Critical Underperformance
NLI-008,22,2024-11-01,7,5,2.13,1.52,Performance Improvement Plan
NLI-008,22,2025-01-01,8,2,4.86,1.22,Performance Improvement Plan
NL-060,10,2024-03-01,8,7,1.67,1.46,Performance Improvement Plan
NL-060,10,2024-04-01,4,4,4.91,4.91,Outstanding Contributor
NL-060,10,2024-05-01,4,2,1.26,0.63,Critical Underperformance
NL-060,10,2024-07-01,7,5,4.86,3.47,Consistently Effective
NL-060,10,2024-08-01,10,8,1.66,1.33,Performance Improvement Plan
NL-060,10,2024-10-01,9,5,1.5,0.83,Critical Underperformance
NL-060,10,2024-11-01,4,2,0.64,0.32,Critical Underperformance
NL-060,10,2025-01-01,9,6,3.45,2.3,Needs Closer Monitoring
NL-063,29,2024-03-01,4,3,4.84,3.63,Consistently Effective
NL-063,29,2024-04-01,5,5,1.85,1.85,Performance Improvement Plan
NL-063,29,2024-05-01,3,3,2.0,2.0,Needs Closer Monitoring
NL-063,29,2024-07-01,7,7,1.2,1.2,Performance Improvement Plan
NL-063,29,2024-08-01,5,2,3.39,1.36,Performance Improvement Plan
NL-063,29,2024-10-01,6,6,2.48,2.48,Needs Closer Monitoring
NL-063,29,2024-11-01,10,4,1.37,0.55,Critical Underperformance
NL-063,29,2025-01-01,3,2,2.98,1.99,Performance Improvement Plan
NL-064,13,2024-03-01,8,8,2.1,2.1,Needs Closer Monitoring
NL-064,13,2024-04-01,7,3,0.4,0.17,Critical Underperformance
NL-064,13,2024-05-01,6,6,1.82,1.82,Performance Improvement Plan
NL-064,13,2024-07-01,5,5,4.43,4.43,Outstanding Contributor
NL-064,13,2024-08-01,9,5,2.55,1.42,Performance Improvement Plan
NL-064,13,2024-10-01,7,2,0.85,0.24,Critical Underperformance
NL-064,13,2024-11-01,7,7,2.93,2.93,Needs Closer Monitoring
NL-064,13,2025-01-01,6,5,3.51,2.92,Needs Closer Monitoring
NL-069,20,2024-03-01,8,6,4.53,3.4,Consistently Effective
NL-069,20,2024-04-01,7,2,2.6,0.74,Critical Underperformance
NL-069,20,2024-05-01,7,3,0.41,0.18,Critical Underperformance
NL-069,20,2024-07-01,3,3,1.05,1.05,Performance Improvement Plan
NL-069,20,2024-08-01,4,4,2.89,2.89,Needs Closer Monitoring
NL-069,20,2024-10-01,6,2,0.47,0.16,Critical Underperformance
NL-069,20,2024-11-01,3,2,0.56,0.37,Critical Underperformance
NL-069,20,2025-01-01,7,2,3.44,0.98,Critical Underperformance
NL-073,18,2024-03-01,8,8,1.0,1.0,Performance Improvement Plan
NL-073,18,2024-04-01,8,7,1.53,1.34,Performance Improvement Plan
NL-073,18,2024-05-01,7,7,0.46,0.46,Critical Underperformance
NL-073,18,2024-07-01,7,4,0.79,0.45,Critical Underperformance
NL-073,18,2024-08-01,3,3,2.75,2.75,Needs Closer Monitoring
NL-073,18,2024-10-01,8,6,1.17,0.88,Critical Underperformance
NL-073,18,2024-11-01,7,5,0.02,0.01,Critical Underperformance
NL-073,18,2025-01-01,9,9,0.09,0.09,Critical Underperformance
NL-074,27,2024-03-01,9,6,0.64,0.43,Critical Underperformance
NL-074,27,2024-04-01,3,2,1.92,1.28,Performance Improvement Plan
NL-074,27,2024-05-01,7,2,4.73,1.35,Performance Improvement Plan
NL-074,27,2024-07-01,5,2,2.75,1.1,Performance Improvement Plan
NL-074,27,2024-08-01,7,3,4.18,1.79,Performance Improvement Plan
NL-074,27,2024-10-01,7,5,4.68,3.34,Consistently Effective
NL-074,27,2024-11-01,8,6,3.39,2.54,Needs Closer Monitoring
NL-074,27,2025-01-01,10,7,4.07,2.85,Needs Closer Monitoring
NL-077,21,2024-03-01,3,3,2.52,2.52,Needs Closer Monitoring
NL-077,21,2024-04-01,6,2,4.08,1.36,Performance Improvement Plan
NL-077,21,2024-05-01,3,2,2.79,1.86,Performance Improvement Plan
NL-077,21,2024-07-01,4,4,3.82,3.82,Consistently Effective
NL-077,21,2024-08-01,7,7,1.71,1.71,Performance Improvement Plan
NL-077,21,2024-10-01,8,4,2.75,1.38,Performance Improvement Plan
NL-077,21,2024-11-01,3,2,2.05,1.37,Performance Improvement Plan
NL-077,21,2025-01-01,6,6,3.11,3.11,Consistently Effective
NL-080,16,2024-03-01,3,3,0.91,0.91,Critical Underperformance
NL-080,16,2024-04-01,6,4,2.17,1.45,Performance Improvement Plan
NL-080,16,2024-05-01,5,4,4.09,3.27,Consistently Effective
NL-080,16,2024-07-01,8,3,3.5,1.31,Performance Improvement Plan
NL-080,16,2024-08-01,6,6,1.67,1.67,Performance Improvement Plan
NL-080,16,2024-10-01,8,2,1.57,0.39,Critical Underperformance
NL-080,16,2024-11-01,8,8,3.91,3.91,Consistently Effective
NL-080,16,2025-01-01,9,9,4.68,4.68,Outstanding Contributor
NL-086,23,2024-03-01,3,2,2.98,1.99,Performance Improvement Plan
NL-086,23,2024-04-01,10,2,3.27,0.65,Critical Underperformance
NL-086,23,2024-05-01,7,5,2.76,1.97,Performance Improvement Plan
NL-086,23,2024-07-01,10,3,2.19,0.66,Critical Underperformance
NL-086,23,2024-08-01,9,4,1.85,0.82,Critical Underperformance
NL-086,23,2024-10-01,9,2,4.74,1.05,Performance Improvement Plan
NL-086,23,2024-11-01,10,9,4.41,3.97,Consistently Effective
NL-086,23,2025-01-01,3,3,1.33,1.33,Performance Improvement Plan
NLI-011,13,2024-03-01,5,4,0.86,0.69,Critical Underperformance
NLI-011,13,2024-04-01,4,2,1.4,0.7,Critical Underperformance
NLI-011,13,2024-05-01,9,8,0.68,0.6,Critical Underperformance
NLI-011,13,2024-07-01,3,2,0.04,0.03,Critical Underperformance
NLI-011,13,2024-08-01,3,3,2.11,2.11,Needs Closer Monitoring
NLI-011,13,2024-10-01,10,9,0.88,0.79,Critical Underperformance
NLI-011,13,2024-11-01,8,5,0.39,0.24,Critical Underperformance
NLI-011,13,2025-01-01,8,5,0.25,0.16,Critical Underperformance
NLI-013,29,2024-03-01,8,4,0.72,0.36,Critical Underperformance
NLI-013,29,2024-04-01,7,3,4.08,1.75,Performance Improvement Plan
NLI-013,29,2024-05-01,8,8,3.15,3.15,Consistently Effective
NLI-013,29,2024-07-01,5,3,1.84,1.1,Performance Improvement Plan
NLI-013,29,2024-08-01,5,5,3.03,3.03,Consistently Effective
NLI-013,29,2024-10-01,7,3,1.38,0.59,Critical Underperformance
NLI-013,29,2024-11-01,9,9,4.77,4.77,Outstanding Contributor
NLI-013,29,2025-01-01,8,5,0.17,0.11,Critical Underperformance
NL-088,15,2024-03-01,5,4,2.93,2.34,Needs Closer Monitoring
NL-088,15,2024-04-01,7,7,3.44,3.44,Consistently Effective
NL-088,15,2024-05-01,5,4,0.4,0.32,Critical Underperformance
NL-088,15,2024-07-01,8,6,3.51,2.63,Needs Closer Monitoring
NL-088,15,2024-08-01,3,2,1.8,1.2,Performance Improvement Plan
NL-088,15,2024-10-01,10,6,2.58,1.55,Performance Improvement Plan
NL-088,15,2024-11-01,6,2,3.01,1.0,Performance Improvement Plan
NL-088,15,2025-01-01,3,3,1.06,1.06,Performance Improvement Plan
NL-089,14,2024-03-01,10,6,2.7,1.62,Performance Improvement Plan
NL-089,14,2024-04-01,7,3,1.92,0.82,Critical Underperformance
NL-089,14,2024-05-01,7,7,3.3,3.3,Consistently Effective
NL-089,14,2024-07-01,10,9,2.13,1.92,Performance Improvement Plan
NL-089,14,2024-08-01,7,6,3.42,2.93,Needs Closer Monitoring
NL-089,14,2024-10-01,9,3,0.64,0.21,Critical Underperformance
NL-089,14,2024-11-01,4,3,3.33,2.5,Needs Closer Monitoring
NL-089,14,2025-01-01,8,7,3.13,2.74,Needs Closer Monitoring
NL-091,24,2024-03-01,5,3,0.57,0.34,Critical Underperformance
NL-091,24,2024-04-01,6,6,0.66,0.66,Critical Underperformance
NL-091,24,2024-05-01,8,2,4.06,1.01,Performance Improvement Plan
NL-091,24,2024-07-01,10,10,0.7,0.7,Critical Underperformance
NL-091,24,2024-08-01,9,6,0.33,0.22,Critical Underperformance
NL-091,24,2024-10-01,7,5,4.68,3.34,Consistently Effective
NL-091,24,2024-11-01,5,3,1.32,0.79,Critical Underperformance
NL-091,24,2025-01-01,3,3,4.2,4.2,Outstanding Contributor
NLI-014,30,2024-03-01,8,3,0.63,0.24,Critical Underperformance
NLI-014,30,2024-04-01,8,8,3.78,3.78,Consistently Effective
NLI-014,30,2024-05-01,9,8,0.24,0.21,Critical Underperformance
NLI-014,30,2024-07-01,5,5,4.68,4.68,Outstanding Contributor
NLI-014,30,2024-08-01,8,8,4.11,4.11,Outstanding Contributor
NLI-014,30,2024-10-01,6,3,4.81,2.4,Needs Closer Monitoring
NLI-014,30,2024-11-01,10,3,1.68,0.5,Critical Underperformance
NLI-014,30,2025-01-01,9,8,0.61,0.54,Critical Underperformance
NL-094,7,2024-03-01,4,2,3.75,1.88,Performance Improvement Plan
NL-094,7,2024-04-01,6,2,4.72,1.57,Performance Improvement Plan
NL-094,7,2024-05-01,8,6,0.36,0.27,Critical Underperformance
NL-094,7,2024-07-01,8,5,4.26,2.66,Needs Closer Monitoring
NL-094,7,2024-08-01,4,2,2.12,1.06,Performance Improvement Plan
NL-094,7,2024-10-01,6,6,3.8,3.8,Consistently Effective
NL-094,7,2024-11-01,7,6,1.23,1.05,Performance Improvement Plan
NL-094,7,2025-01-01,10,7,1.76,1.23,Performance Improvement Plan
NL-095,19,2024-03-01,7,5,0.93,0.66,Critical Underperformance
NL-095,19,2024-04-01,3,2,1.07,0.71,Critical Underperformance
NL-095,19,2024-05-01,7,6,2.55,2.19,Needs Closer Monitoring
NL-095,19,2024-07-01,5,2,1.63,0.65,Critical Underperformance
NL-095,19,2024-08-01,4,2,3.74,1.87,Performance Improvement Plan
NL-095,19,2024-10-01,8,4,4.49,2.25,Needs Closer Monitoring
NL-095,19,2024-11-01,9,6,2.6,1.73,Performance Improvement Plan
NL-095,19,2025-01-01,5,3,4.07,2.44,Needs Closer Monitoring
NL-102,27,2024-03-01,4,3,0.17,0.13,Critical Underperformance
NL-102,27,2024-04-01,3,2,1.84,1.23,Performance Improvement Plan
NL-102,27,2024-05-01,10,4,4.36,1.74,Performance Improvement Plan
NL-102,27,2024-07-01,9,2,1.01,0.22,Critical Underperformance
NL-102,27,2024-08-01,5,4,2.14,1.71,Performance Improvement Plan
NL-102,27,2024-10-01,10,4,0.39,0.16,Critical Underperformance
NL-102,27,2024-11-01,8,7,0.3,0.26,Critical Underperformance
NL-102,27,2025-01-01,3,3,0.23,0.23,Critical Underperformance
NL-103,8,2024-03-01,4,4,2.8,2.8,Needs Closer Monitoring
NL-103,8,2024-04-01,3,2,1.06,0.71,Critical Underperformance
NL-103,8,2024-05-01,7,7,2.82,2.82,Needs Closer Monitoring
NL-103,8,2024-07-01,5,3,1.87,1.12,Performance Improvement Plan
NL-103,8,2024-08-01,6,4,0.19,0.13,Critical Underperformance
NL-103,8,2024-10-01,9,4,4.02,1.79,Performance Improvement Plan
NL-103,8,2024-11-01,4,4,3.46,3.46,Consistently Effective
NL-103,8,2025-01-01,8,6,4.65,3.49,Consistently Effective
NL-106,11,2024-03-01,5,5,4.12,4.12,Outstanding Contributor
NL-106,11,2024-04-01,9,8,3.06,2.72,Needs Closer Monitoring
NL-106,11,2024-05-01,9,4,1.34,0.6,Critical Underperformance
NL-106,11,2024-07-01,3,3,1.91,1.91,Performance Improvement Plan
NL-106,11,2024-08-01,10,5,3.48,1.74,Performance Improvement Plan
NL-106,11,2024-10-01,5,2,1.52,0.61,Critical Underperformance
NL-106,11,2024-11-01,4,4,4.2,4.2,Outstanding Contributor
NL-106,11,2025-01-01,7,3,3.88,1.66,Performance Improvement Plan
NL-107,9,2024-03-01,9,3,0.43,0.14,Critical Underperformance
NL-107,9,2024-04-01,3,2,2.06,1.37,Performance Improvement Plan
NL-107,9,2024-05-01,8,7,1.15,1.01,Performance Improvement Plan
NL-107,9,2024-07-01,6,2,4.25,1.42,Performance Improvement Plan
NL-107,9,2024-08-01,7,4,2.22,1.27,Performance Improvement Plan
NL-107,9,2024-10-01,7,6,3.64,3.12,Consistently Effective
NL-107,9,2024-11-01,5,4,4.87,3.9,Consistently Effective
NL-107,9,2025-01-01,9,2,0.46,0.1,Critical Underperformance
NL-109,25,2024-03-01,4,3,3.2,2.4,Needs Closer Monitoring
NL-109,25,2024-04-01,5,5,2.49,2.49,Needs Closer Monitoring
NL-109,25,2024-05-01,8,3,0.97,0.36,Critical Underperformance
NL-109,25,2024-07-01,7,4,3.82,2.18,Needs Closer Monitoring
NL-109,25,2024-08-01,7,6,3.81,3.27,Consistently Effective
NL-109,25,2024-10-01,5,4,3.93,3.14,Consistently Effective
NL-109,25,2024-11-01,8,6,3.36,2.52,Needs Closer Monitoring
NL-109,25,2025-01-01,6,6,3.77,3.77,Consistently Effective
NL-110,1,2024-03-01,9,6,2.55,1.7,Performance Improvement Plan
NL-110,1,2024-04-01,3,2,3.02,2.01,Needs Closer Monitoring
NL-110,1,2024-05-01,6,5,3.23,2.69,Needs Closer Monitoring
NL-110,1,2024-07-01,10,10,4.91,4.91,Outstanding Contributor
NL-110,1,2024-08-01,3,3,1.81,1.81,Performance Improvement Plan
NL-110,1,2024-10-01,3,2,3.65,2.43,Needs Closer Monitoring
NL-110,1,2024-11-01,7,4,2.69,1.54,Performance Improvement Plan
NL-110,1,2025-01-01,10,9,3.44,3.1,Consistently Effective
NL-115,8,2024-03-01,3,3,4.37,4.37,Outstanding Contributor
NL-115,8,2024-04-01,5,5,1.33,1.33,Performance Improvement Plan
NL-115,8,2024-05-01,6,5,1.91,1.59,Performance Improvement Plan
NL-115,8,2024-07-01,6,6,1.66,1.66,Performance Improvement Plan
NL-115,8,2024-08-01,5,4,4.73,3.78,Consistently Effective
NL-115,8,2024-10-01,8,3,4.97,1.86,Performance Improvement Plan
NL-115,8,2024-11-01,6,2,2.38,0.79,Critical Underperformance
NL-115,8,2025-01-01,3,2,3.98,2.65,Needs Closer Monitoring
NL-116,7,2024-03-01,5,5,0.99,0.99,Critical Underperformance
NL-116,7,2024-04-01,6,6,2.9,2.9,Needs Closer Monitoring
NL-116,7,2024-05-01,4,4,1.64,1.64,Performance Improvement Plan
NL-116,7,2024-07-01,8,2,1.33,0.33,Critical Underperformance
NL-116,7,2024-08-01,5,5,3.2,3.2,Consistently Effective
NL-116,7,2024-10-01,3,3,3.74,3.74,Consistently Effective
NL-116,7,2024-11-01,5,2,1.06,0.42,Critical Underperformance
NL-116,7,2025-01-01,4,2,0.31,0.15,Critical Underperformance
NL-118,25,2024-03-01,3,3,1.9,1.9,Performance Improvement Plan
NL-118,25,2024-04-01,5,2,1.93,0.77,Critical Underperformance
NL-118,25,2024-05-01,6,4,4.89,3.26,Consistently Effective
NL-118,25,2024-07-01,7,5,1.09,0.78,Critical Underperformance
NL-118,25,2024-08-01,3,3,0.46,0.46,Critical Underperformance
NL-118,25,2024-10-01,9,5,2.07,1.15,Performance Improvement Plan
NL-118,25,2024-11-01,6,3,3.96,1.98,Performance Improvement Plan
NL-118,25,2025-01-01,7,6,2.93,2.51,Needs Closer Monitoring
NL-119,3,2024-03-01,7,2,2.57,0.73,Critical Underperformance
NL-119,3,2024-04-01,5,5,4.46,4.46,Outstanding Contributor
NL-119,3,2024-05-01,4,2,1.13,0.56,Critical Underperformance
NL-119,3,2024-07-01,9,4,2.69,1.2,Performance Improvement Plan
NL-119,3,2024-08-01,7,6,1.06,0.91,Critical Underperformance
NL-119,3,2024-10-01,5,3,2.89,1.73,Performance Improvement Plan
NL-119,3,2024-11-01,10,4,2.42,0.97,Critical Underperformance
NL-119,3,2025-01-01,9,2,3.29,0.73,Critical Underperformance
